yes,staple,not_vegan,gluten,sweetener,cuisine,flavor,season,flavoring_sweet,flavoring_fresh,flavoring_wet,flavoring_concentrate,flavoring,flavoring_dry,protein,protein_cheese_sub,protein_milk_sub,protein_meat_sub,protein_bean,veg,veg_leafy,grain,grain_flour,fat_oil,oil,fat,fruit,fruit_berry,meal,salad,salad_green,salad_extra,salad_dressing,salad_dressing_oil,salad_dressing_salt,salad_dressing_pepper,salad_dressing_garlic,salad_dressing_vinegar,method,protein_nut_seed,protein_nut,protein_seed,salad_extra_tomato,salad_extra_olive,salad_extra_cheese,salad_extra_crouton,salad_extra_egg,salad_extra_other,redirect,salad_basic,salad_starter,salad_umbrella,umbrella_that_pairs,useful_umbrella,salad_allium,name,pairs_with,phonetic,flavor,techniques,dishes,volume,tip,possible_substitutes,flavor_affinities,nutritional_profile,calories,season,botanical_relatives,protein,what_they_are,brands,vegan_substitutes,vegan_brands
y,y,,,,,,,,,,,,,,,,,,,,,,,,,y,,,y,,y,,,,,,,,,,,,,,,,,,y,,y,,,,"CITRUS—IN GENERAL (see GRAPEFRUIT, LEMON, LIME, ORANGE, and TANGERINE)",,,,,,,Tips: Using citrus is one of the best ways to add flavor without adding extra fat or sodium to a dish. Both the juice and the zest of citrus fruits are full of flavor.,,,,,,,,,,,
y,y,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,,y,,y,,,,"CRUCIFEROUS VEGETABLES (see ARUGULA; BOK CHOY; BROCCOLI; BROCCOLINI; BROCCOLI RABE; BRUSSELS SPROUTS; CABBAGE; CAULIFLOWER; GREENS—e.g., COLLARD, MUSTARD, TURNIP; KALE; KOHLRABI; RADISHES; TURNIPS; WATERCRESS)",,,,,,,,,,,,,,,,,,
y,y,,,,,,,,,,,,,,,,,,y,y,,,,,,,,,y,y,,,,,,,,,,,,,,,,,,,y,,y,,,,"GREENS, LEAFY (see GREENS, BITTER; and GREENS, SALAD)",,,,,,,,,,,,,,,What they are: bitter greens and salad greens,,,
y,y,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,,y,,y,,,,"ROOT VEGETABLES—IN GENERAL, or MIXED (see also BEETS, CARROTS, PARSNIPS, RUTABAGAS, SWEET POTATOES, TURNIPS, etc.)",,,,,,,,,,,,,,,,,,
y,y,,,,,,,,,,,y,y,,,,,,,,,,,,,,,,y,,,y,,y,,,,,,,,,,,,,,,y,,y,,,,SALT—IN GENERAL,,,,,,,,,,,,,,,,,,
y,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,,,,y,,,,"SEA VEGETABLES (see also ARAME, DULSE, HIZIKI, KOMBU, NORI, WAKAME)",,,"Flavor: salty, with notes of the sea",,"Dishes


Seaweed Salad: Mixed Baby Greens, Laver, Sea Lettuce, Dulse Flakes, Avocado, and Cucumber tossed in Miso Dressing

—118 Degrees (California)



Raw Sea Vegetable and Avocado Salad with Satsuma Mandarin, Marinated Shiitake Mushroom, Shredded Daikon and Carrot, Citrus-Ginger Vinaigrette, Wasabi Cream, and Chile-Toasted Cashews

—Millennium (San Francisco)



Sea Cake: Butternut Squash, Yam and Sea Vegetable Croquette, Pesto, Sweet Chili Aioli

—Real Food Daily (Los Angeles)","Volume: range from quieter (e.g., arame, wakame)–louder (e.g., hiziki)","Tips: Kept in a cool, dry area, sea vegetables store beautifully. Soak dried sea vegetables in cold water for 5+ minutes to reconstitute before cooking (and to reduce sodium). Serve either cold or hot.",,,,,,,,,,,
y,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,y,,,y,,,,"SEAWEED (see SEA VEGETABLES, ARAME, DULSE, HIZIKI, KELP, NORI, WAKAME)",,,,,,,,,,,,,,,,,,
y,y,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,y,,,y,,,,,y,,,,,,,,,,,,y,,y,,,,VINEGAR—IN GENERAL (see also specific vinegars),,,Flavor: ranges from slightly to very sour,,,Volume: ranges from quieter–louder,Tip: Can act as a flavor enhancer to many dishes,"Possible substitutes: lemon juice, lime juice, tamarind paste, verjus, wine",,Nutritional profile: virtually 100% carbs,"Calories: 25 (cider, wine)–100 (balsamic) per ½ cup",,,,,,,
y,,y,,,,,,,,,,,,y,y,,,,,,,,,,,,,,y,,y,,,,,,,,,,,,,y,,,,,,,,,,,"“CHEESE,” VEGAN","calzones

cheese plates, e.g., with fruits, nuts

dips, e.g., cheese

eggplant, e.g., baked eggplant

enchiladas

fondues

pastas, e.g., macaroni

pizzas

quesadillas

sandwiches, e.g., grilled cheese, “Reuben”

veggie burgers",,,,,,,,,,,,,,,,,
y,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,,y,,y,,,,,,,,,,,,,,,,,,,,,,,,AÇAI,"agave nectar

bananas

berries

cassava

desserts, e.g., cheesecake, ice cream, sorbet

drinks, e.g., cocktails, lemonade

granola

ice cream

jellies

juices

pomegranates

raspberries

SMOOTHIES

sorbets

South American cuisine

yogurt",[ah-sah-EE],"Flavor: sour/bitter; with earthy notes of berries (e.g., blackberries, blueberries and/or raspberries) and/or chocolate","Techniques: dry, juice, raw","Dishes


Açai Sunset Smoothie: Açai Berry, Banana, Strawberry, Orange Juice, Mango, Pineapple, Lime

—Pomegranate Café (Phoenix)



Deep Purple Smoothie: Açai Berry, Raspberry, Blueberry, Strawberry, Banana, Goji Berry, Pomegranate Juice

—Pomegranate Café (Phoenix)



Açai Bowl: Sambazon Açai Berry, Granola, Bananas, Berries, Drizzled Agave Nectar

—Real Food Daily (Los Angeles)",,,,,,,,,,,,,
y,y,,,,,,,,,,,,,y,,,,,,,,,,,,,,,y,,y,,,,,,,,y,y,,,,,,,,,y,,,,,,"ALMONDS (and UNSWEETENED ALMOND BUTTER; see also MILK, ALMOND)","amaretto

anise

apples

apricots

arugula

baked goods, e.g., cookies, pie crusts, quick breads

bananas

barley

beans, green, e.g., French

bell peppers, e.g., red or yellow, esp. roasted

BERRIES, e.g., blackberries, blueberries, strawberries

beverages, e.g., chocolate

biryanis

brandy

bread/toast, seven-grain

broccoli

Brussels sprouts

bulgur

butter

cabbage, napa

candies

caramel

caraway seeds

cardamom

carrots

cauliflower

cayenne

celery

celery root

cheese, e.g., blue, cream, goat, manchego, ricotta, Romano, Stilton

CHERRIES

chiles, e.g., ancho, and chili powder

CHOCOLATE / COCOA /

CACAO NIBS

chocolate, e.g., dark, milk, white

cinnamon

citrus

coconut

coffee

cornmeal

couscous

cranberries

cream

cumin

currants, e.g., black

curries

DATES

desserts, e.g., mousses, puddings

dips

figs

FRUITS, e.g., dried, fresh, roasted

GARLIC

ginger

granola

grapes

greens, e.g., bitter, salad

hazelnuts

hiziki

HONEY

ice cream

icings, e.g., for cakes, cupcakes, etc.

Indian cuisine

kale

lavender

leeks

LEMON, e.g., juice, zest

lime, e.g., juice, zest

liqueurs, fruit (e.g., orange)

MAPLE SYRUP

mascarpone

Mediterranean cuisines

Middle Eastern cuisines

milk

molasses

Moroccan cuisine

muesli

mushrooms, e.g., chanterelle, portobello

mustard powder

nectarines

noodles, soba

nuts, other, e.g., walnuts

oats and oatmeal

oil, e.g., olive

olives

onions, e.g., red

ORANGE, e.g., juice, zest

paprika

passion fruit

PEACHES

pears

pecans

pepper, e.g., black

“pestos”

pilafs

pine nuts

pistachios

plums, e.g., dried, fresh

polenta

praline

quinces

raisins

raspberries

rhubarb

RICE, e.g., sweet

rose water

rosemary

rum

salads

salt, e.g., kosher, sea

SAUCES, e.g., mole, romesco

sesame, e.g., seeds

sherry

smoothies

soups, e.g., white gazpacho

soy sauce

Spanish cuisine

spiced almonds

spinach

spreads

strawberries

stuffings

sugar, e.g., brown

thyme

tofu

tomatoes

trail mix

Turkish cuisine

VANILLA

vinegar, e.g., champagne, sherry

watercress

yogurt

zucchini",,"Flavor: nutty, slightly sweet (and sometimes salty), with a crunchy texture",,"Dishes


Almond Olive Oil Cake with Blackberries and Greek Yogurt

—True Food Kitchen (Santa Monica)",Volume: quiet,"Tips: Buy organic almonds. Toast almonds to bring out their flavor and crunchiness. Almonds are arguably the most versatile nut, and they pair well with a great number of ingredients.",,"Flavor Affinities


almond butter + bananas + seven-grain toast

almonds + apricots + lemon

almonds + basil + French green beans + peaches

almonds + bell peppers + chiles + garlic + sherry vinegar + tomatoes

almonds + bell peppers + garlic + tomatoes

almonds + blackberries + yogurt

almonds + blueberries + ricotta

almonds + blue cheese + watercress

almonds + bread crumbs + garlic + olive oil + parsley + tomatoes

almonds + cayenne + chili powder + lime

almonds + cayenne + cumin + mustard powder + paprika

almonds + chocolate + coconut

almonds + cream + orange + polenta

almonds + dates + garlic + ginger + soy sauce

almonds + dates + rice

almonds + honey + ricotta + vanilla

almonds + lemon + maple

almonds + oats + peaches",Nutritional profile: 72% fat / 15% carbs / 13% protein,Calories: 165 per 1-ounce serving (about 20–25 whole almonds),,"Botanical relatives: apricots, cherries, nectarines, peaches, plums",Protein: 6 grams,,,,
y,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,y,,y,,,,,,,,y,y,,,,,,,,,,,,,,,"ALMONDS, MARCONA","baked goods

beans, e.g., green

beets

cheeses, e.g., manchego

chickpeas

dates

desserts

figs

garlic

honey, e.g., orange blossom

lemon

maple syrup

oil, e.g., olive, sunflower

paprika, smoked

parsnips

quince paste

rosemary

salads, e.g., green, vegetable

salt

Spanish cuisine

squash, summer and winter

thyme

vegetables, root

vinegar, sherry",,"Flavor: sweet/salty, with a rich, dense, crunchy texture","Techniques: fry, raw",,,"Tip: Marcona almonds are richer, softer, and sweeter than California almonds.",,"Flavor Affinities


Marcona almonds + green beans + lemon

Marcona almonds + manchego cheese + quince paste

Marcona almonds + olive oil + salt",,Calories: 180 per 1-ounce serving,,,,What they are: almonds from Spain,,,
