ingredient,phonetic,flavor,techniques,dishes,pairs_with,volume,tip,possible_substitute,nutritional_profile,Calories,season,botanical_relatives,protein,what_they_are,brands
"BEANS, MUNG",,Flavor Affinities,"Techniques: pressure-cook, sauté, simmer (30–60 minutes), sprout, stir-fry","Dishes


Zucchini-Mung Bean Pancake and Skeena Cherry, Basil, and Purslane Salad served with a Sorrel-Truffle Sauce and Blue Majestic Potato Crisps

—Sutra (Seattle)","asafoetida powder

Asian cuisines

bay leaf

bell peppers

bok choy

cabbage, napa

carrots

casseroles

cayenne

chiles, e.g., jalapeño, red

Chinese cuisine

chives

cilantro

cinnamon

coconut and coconut milk

coriander

CUMIN

CURRIES

dals

dill

garam masala

GARLIC

ghee

GINGER

grains, e.g., bulgur

gravies

greens

hummus

Indian cuisine

leeks

lemon, e.g., juice

lentils

lime

millet

moong dal

mujadura

mushrooms

mustard seeds

noodles, Asian

oil, e.g., coconut, mustard, olive

ONIONS, e.g., red

pancakes

parsley

peas, e.g., split

pho, vegetarian

pilafs

purees

RICE, e.g., basmati, brown, long-grain

salads

salt, e.g., sea

sauces

SOUPS, e.g., miso, mung bean

Southeast Asian cuisines

spinach

sprouts, mung bean

stews

sugar snap peas

tempeh

tofu

tomatoes

turmeric

vegetables

yogurt",Volume: quiet–moderate,Tip: Presoaking mung beans is optional.,,Nutritional profile: 74% carbs / 23% protein / 3% fat,Calories: 215 per 1-cup serving (boiled),,,Protein: 14 grams,,
"BEANS, NAVY (aka YANKEE BEANS)",,Flavor Affinities,Techniques: simmer,,"arugula

asparagus

BAKED BEANS

barley

basil

beets

Boston cuisine

broccoli rabe

cabbage, e.g., red

carrots

casseroles

cauliflower

celery

celery root

cheese, e.g., ricotta

chiles

chili, vegetarian

cloves

corn

dips

fennel

garlic

ketchup

leeks

maple syrup

molasses

mushrooms

mustard, e.g., Dijon, yellow

onions, e.g., white, yellow

orange

parsley

pastas, e.g., pasta e fagioli

pepper, e.g., black

pilafs

potatoes

purees

quinoa

rice

rosemary

SALADS, e.g., tomato, vegetable

salt, e.g., kosher, sea

savory

shallots

SOUPS, e.g., bean, tomato

spreads

squash, summer

stews

sugar, e.g., brown

sweet potatoes

thyme

tomatoes and tomato paste

vinegar, e.g., cider",Volume: quiet–moderate,,Possible substitute: cannellini beans,Nutritional profile: 76% carbs / 20% protein / 4% fat,Calories: 255 per 1-cup serving (boiled),,,Protein: 15 grams,,
"BEANS, PINTO",,Flavor Affinities,"Techniques: mash, puree, refry, simmer, stew","Dishes


Canyon Rancheros—Our take on Huevos Rancheros: Grilled Corn Tortilla topped with Mashed Pinto Beans and broiled with Cheddar Cheese, served with a Poached Egg and Pico de Gallo Salsa

—Canyon Ranch (Tucson)



Organic Pinto Bean Tostada Stack, Avocado Salsa, Red Rice, and Ancho Chile Sauce

—Golden Door (Escondido, California)","anise seeds

avocado

barbecue sauce

bay leaf

beans, other, e.g., black, kidney

burritos

casseroles

cheese, e.g., cheddar or Jack

CHILES, e.g., ancho, chipotle, jalapeño, poblano, serrano, and chili powder

CHILI, VEGETARIAN

chips, tortilla

cilantro

corn

CUMIN

dips

eggs, e.g., huevos rancheros

epazote

fennel

frijoles, e.g., refritos

GARLIC

kale

kombu

lemon

lime

liquid smoke

maple syrup

MEXICAN CUISINE

mushrooms, e.g., portobello

mustard

nachos

oil, olive

ONIONS

oregano

parsley

pâtés

pepper, black

purees

quinoa

REFRIED BEANS

RICE, e.g., brown

sage

salads, e.g., taco

salsas

salt, e.g., sea

savory

scallions

soups

Southwestern (U.S.) cuisine

spelt

spreads

STEWS, vegetarian

stock, e.g., vegetable

tacos

Tex-Mex cuisine

thyme

tomatoes and tomato puree

tortillas

tostadas

veggie burgers",Volume: quiet–moderate,,,Nutritional profile: 74% carbs / 22% protein / 4% fat,Calories: 245 per 1-cup serving (boiled),Season: winter,,Protein: 15 grams,,
"BEANS, RED (see also similar BEANS, KIDNEY)",,"Flavor: slightly sweet, similar to kidney beans, with a firm texture",,,"casseroles

chilaquiles

chiles, e.g., ancho

chili, vegetarian

coffee

Creole cuisine

jambalaya

Mexican cuisine

parsley

red beans and rice

RICE

salads, e.g., bean, green

savory

soups

Southwestern (U.S.) cuisine",Volume: quieter than kidney beans,,Possible substitute: kidney beans,,,,,,,
"BEANS, SHELL (see BEANS, CRANBERRY; BEANS, FAVA; BEANS, LIMA)",,,,,,,,,,,,,,,
"BEANS, SOY (see EDAMAME and SOY BEANS)",,,,,,,,,,,,,,,
"BEANS, STRING (see BEANS, GREEN)",,,,,,,,,,,,,,,
"BEANS, WHITE (see also BEANS, CANNELLINI; BEANS, NAVY)",,Flavor Affinities,"Techniques: bake, simmer","Dishes


Bangers and Mash: White Bean and Fennel Sausage, Rustic Mashed Potatoes, Sautéed Spinach, Caramelized Onions, Mushroom Jus

—The Butcher’s Daughter (New York City)



Tuscan White Bean Pâté Sandwiches with Arugula and Tomato

—Candle Cafe (New York City)



Pasta with White Beans, Arugula, Mushrooms, and Peas

—Telepan (New York City)","artichokes

arugula

asparagus

baked beans

barley

BASIL

bay leaf

bell peppers, red, esp. roasted

bread crumbs

bruschetta

cabbage, e.g., savoy

capers

carrots

casseroles

cassoulets

cauliflower

celery

celery root

chard, e.g., Swiss

cheese, e.g., cheddar, Parmesan

chervil

chickpeas

chiles, e.g., green chili pepper flakes, chili pepper sauce, and chili powder

chili, vegetarian

chives

couscous

croutons, whole grain

cumin

dates

dill

dips

eggs, e.g., hard-boiled

escarole

fennel, fennel pollen, and fennel seeds

French cuisine

frisée

GARLIC

greens, bitter, e.g., beet, mustard

honey

“hummus,” i.e., white bean

Italian cuisine

kale, esp. black

kombu

leeks

LEMON, e.g., juice, zest

lettuce, e.g., butter

maple syrup

molasses

mushrooms, e.g., cremini, oyster, portobello, shiitake

mustard, e.g., Dijon, dry

OIL, e.g., OLIVE, peanut

olives, e.g., green

ONIONS, e.g., red, sweet, white

orange

oregano

parsley

PASTAS

peas

pepper, e.g., black, white

pesto

potatoes

pumpkin

purees

ROSEMARY

SAGE

SALADS, e.g., bean, fennel, green

salt, e.g., kosher, sea

sauces, e.g., tomato

sauerkraut

sausages, vegan

savory

scallions

shallots

SOUPS, e.g., white bean

spelt

spinach

spreads

squash, e.g., butternut

stews

stock, vegetable

sugar, e.g., brown

sweet potatoes

tahini

tarragon

thyme

TOMATOES

tomatoes, sun-dried

Tuscan cuisine

vegetables, root

VINEGAR, e.g., balsamic, cider, red wine, rice, umeboshi, white wine

wheat berries

wine, dry red",Volume: quiet–moderate,,,Nutritional profile: 74% carbs / 24% protein / 2% fat,Calories: 250 per 1-cup serving (boiled),Season: winter,,Protein: 17 grams,,
BEETS,,Flavor Affinities,"Techniques: bake (350°F, about 60 minutes), boil (about 20–45 minutes, depending on size), grate (e.g., for grains, salads), julienne, pickle, pressure-cook (10–25 minutes), raw, roast, sauté, shred, steam (about 25–40 minutes)","Dishes


Chocolate Beet Cake, Roasted Pear Sorbet, Beet, and Pear Leather

—Dirt Candy (New York City)



Ricotta Gnudi, Horseradish, Beets, Pistachios

—Dovetail (New York City)



Beet-Chocolate Cupcakes with Vegan Cream Cheese Frosting

—Fire & Spice (Hartford, CT)



Roasted Baby Beets, Pearled Barley, Horseradish Whipped Goat Cheese, Walnut Vinaigrette

—Green Zebra (Chicago)



Roasted Baby Beets and Raspberry Salad, Savory Chocolate, Spiced Pecans, Tarragon

—Green Zebra (Chicago)



Three-Beet Salad with Devoto Fuji Apples, Walnuts, Arugula, Andante Dairy-Fresh Goat Cheese, and Cider Vinaigrette

—Greens Restaurant (San Francisco)



Roasted Beets with Hazelnut Oil, Balsamic Vinegar, and Thyme

—Millennium (San Francisco)



Vegan Red Flannel Hash Scrambled Tofu with Smoked Tofu, Red Beets, Sweet Potato, Potato, Shallot, Fresh Thyme, Choice of Toast

—Mohawk Bend (Los Angeles)



Beet-Lime Ganache, Chèvre Frozen Yogurt, Pistachio Crunch

—Momofuku (New York City)



Rotisserie-Crisped Beets with Bulgur Salad, Apples, and Creamed Horseradish

—Narcissa (New York City)



Assortment of Roasted Baby Beets with Fresh Catapano Goat Cheese, Pistachios and Sherry-Shallot Dressing

—North Fork Table & Inn (Southold, NY)



Tartare of Beets, Dill Flat Bread, Soft Quail Egg, Crispy Capers, and Blood Orange Pepper

—The Point (Saranac Lake, NY)



Beet Tartare: Roasted Beets, Carrot Aioli, Cashew Cheese, Served with Baguette

—Portobello (Portland, OR)



Flannel Hash with Tempeh: Roasted Beets, Sweet Potatoes and Tempeh with Caramelized Onions and Worcestershire Sauce

—Portobello (Portland, OR)



Salad of Summer Greens and Sweet Beets with Warm Local Goat’s Milk Cheese Fritters, Caramelized Oranges, and Shallot Vinaigrette

—The White Barn Inn (Kennebunk, ME)","agave nectar

allspice

anise hyssop

anise seeds

APPLES and apple juice

arame

ARUGULA

asparagus

avocado

baked goods, e.g., cakes

basil

bay leaf

beans, e.g., fava, green

bell peppers, e.g., green, red, yellow

blackberries

black-eyed peas

breads, e.g., dark, rye

butter

buttermilk

cabbage, e.g., green, red, savoy

capers

CARAWAY SEEDS

cardamom

“carpaccio”

CARROTS

cauliflower

celery and celery leaves

celery root

chard, Swiss

CHEESE, e.g., blue, Cambozola, cashew, cream, FETA, GOAT, Gorgonzola, Gouda, Havarti, Monterey Jack, Parmesan, queso blanco, ricotta, ricotta salata, Roquefort, salty

chervil

chickpeas

chicory

chiles and chili pepper flakes

chips, e.g., fried

CHIVES

chocolate and cocoa

chutneys

cilantro

cinnamon

citrus, e.g., juice

cloves

coriander

couscous

cranberries

cream

crème fraîche

crudités

cucumbers

cumin

curry powder

desserts, e.g., “red velvet”

DILL

edamame

eggs, esp. hard-boiled

endive

escarole hearts

falafel

FENNEL, fennel fronds, and fennel seeds

frisée

fruit, dried

GARLIC

GINGER

grains

grapefruit, e.g., juice

GREENS, e.g., baby, BEET, bitter, collard, dandelion, mesclun, mixed, mustard

harissa

hash, e.g., red flannel

herbs

hiziki

honey

HORSERADISH

juices, e.g., beets + carrots + celery

kale

kumquats

lavender

leeks

LEMON, e.g., juice, zest

lemon, preserved

lemongrass

lentils, e.g., green, red

lettuce, e.g., butter

lime

mace

mâche

mangoes

maple syrup

marjoram

mascarpone

mayonnaise

milk

MINT

mizuna

mushrooms

MUSTARD, e.g., Dijon

nutmeg

NUTS, e.g., hazelnuts, macadamia, pecans, pine nuts, pistachios, WALNUTS

OIL, e.g., canola, hazelnut, macadamia nut, mustard, nut, OLIVE, peanut, safflower, vegetable, WALNUT

olives, e.g., black, kalamata

ONIONS, e.g., green, red, white, yellow

ORANGE, e.g., juice, zest

oregano

paprika

PARSLEY

parsnips

pasta

pears

pepper, e.g., black, white

pomegranate, e.g., molasses, seeds

poppy seeds

potatoes

pumpkin seeds

purslane

quinoa

radishes

raisins

relishes

rhubarb

risottos, e.g., beet

Russian cuisine

rye, e.g., bread

sage

*SALADS, e.g., beet, carrot, green

salsa verde

salt, e.g., kosher, sea

savory

scallions

sea vegetables, e.g., arame, wakame

seeds, e.g., poppy, sunflower

SHALLOTS

sorrel

SOUPS, e.g., BORSCHT

SOUR CREAM

soy sauce

spinach

star anise

stews

stock, vegetable

sugar, e.g., brown

sunflower seeds

TARRAGON

“tartares,” e.g., beet (resembling steak tartare)

thyme

tofu

tomatoes

turnips

vegetables, root

veggie burgers, e.g., beet-lentil

verjus

vinaigrette, e.g., citrus

*VINEGAR, e.g., BALSAMIC, champagne, cider, fruit, raspberry, RED WINE, rice, sherry, tarragon, white balsamic, white wine

wakame

wasabi

WATERCRESS

watermelon

wine, dry red

YOGURT

za’atar",Volume: moderate–loud,,,Nutritional profile: 86% carbs / 11% protein / 3% fat,Calories: 60 per 1-cup serving (raw),"Season: year-round, esp. late summer–autumn","Botanical relatives: chard, quinoa, spinach, Swiss chard",Protein: 2 grams,,
"BELL PEPPERS—IN GENERAL, or MIXED",,Flavor Affinities,"Techniques: bake, blanch, braise, broil, grill, marinate, puree, raw, roast (over open flame, before placing in a covered bowl to steam), sauté, steam, stew, stir-fry (3–5 minutes), stuff","Dishes


Yellow Pepper Soup with 62-Degree Egg and Confit Red Pepper, Brown Butter, Brioche, Radish, Parmesan

—Fearrington House (Fearrington Village, NC)","anise

arame

artichokes

arugula

barley

BASIL

bay leaf

BEANS, e.g., BLACK, fava, red

bok choy

bread

broccoli

broccoli rabe

bruschetta

bulgur

cabbage

capers

carrots

casseroles

cauliflower

cayenne

celery

celery seeds

chard

CHEESE, e.g., cheddar, feta, Fontina, goat, mozzarella, Parmesan, provolone, soft

chervil

chickpeas

chiles, chili flakes, and chili powder

chili, vegetarian

chives

cilantro

coconut milk

coriander

corn

corn bread

coulis

couscous

cucumbers

cumin

curries

dips

eggplant

EGGS, e.g., frittatas, omelets, quiches, scrambled, tortillas

fennel

GARLIC

gazpacho

ginger

grains, whole

gratins

greens, salad

harissa

hash

honey

jícama

leeks

lemon, e.g., juice, zest

lemons, preserved

lentils

lime

mango

marjoram

“meatloaf,” vegetarian

Mediterranean cuisines

Mexican cuisine

millet

mint

miso

mushrooms, e.g., button, portobello, shiitake

noodles, Asian, e.g., pad thai

OIL, e.g., canola, corn, OLIVE, peanut, sesame

olives, e.g., black, green, kalamata

ONIONS, e.g., red, sweet, yellow

oregano

paprika, e.g., smoked, sweet

PARSLEY

PASTAS, e.g., lasagna, linguini, orzo, spaghetti

peaches

pears

pepper, black

pilafs

pineapple

pine nuts

pizzas, e.g., mushroom

polenta

pomegranate molasses

potatoes

purees

quesadillas

quinoa

raisins

ratatouille

relishes

RICE, e.g., brown, wild

risottos

romesco sauce

saffron

sage

SALADS, e.g., bean, green, pasta, potato, tomato, vegetable

salt

sandwiches, e.g., grilled cheese, Italian

sauces

sesame seeds

shallots

slaws

snow peas

sofritos

SOUPS, e.g., bean, gazpacho, gumbo, red pepper, tomato, vegetable

South American cuisines

spreads

squash, summer

stews

stir-fries

stock, vegetable

STUFFED PEPPERS

stuffings, e.g., Israeli couscous, quinoa, rice

sweet potatoes

tahini

tempeh

Tex-Mex cuisine

Thai cuisine

thyme

tofu

tomatoes, e.g., green, sun-dried

*TOMATOES, tomato paste, and tomato sauce

Turkish cuisine

vegetables, summer

VINEGAR, e.g., balsamic, red wine, sherry

walnuts

wine, dry red or white

yogurt

zucchini",Volume: moderate (red/roasted)–loud (green/raw),Tips: Opt for organic bell peppers. Red and yellow bell peppers are also known as sweet peppers and are more nutritious than green bell peppers.,,Nutritional profile: 86% carbs / 8% protein / 6% fat,Calories: 40 per 1-cup serving (boiled red),Season: summer–autumn,"Botanical relatives: chiles, eggplant, gooseberries, potatoes, tomatillos, tomatoes",Protein: 1 gram,What they are: Green peppers are immature red bell peppers (the latter are allowed to ripen on the vine).,
"BERRIES—IN GENERAL, or MIXED BERRIES (see also SPECIFIC BERRIES, e.g., BLACKBERRIES, BLUEBERRIES, RASPBERRIES, STRAWBERRIES)",,Flavor Affinities,"Techniques: poach, raw","Dishes


Warm Three Berry-Ginger Pie with Walnut Oat Crumb Topping, Multi-Grain Crust (Organic Spelt, Oat, Barley, and Brown Rice Flours), and Non-Dairy, Low-Fat Vanilla Soy Ice Cream

—Josie’s (New York City)","almonds

apricots

basil

cereals, breakfast

chamomile

cheese, e.g., cream, ricotta

chocolate, e.g., dark, milk, white

cinnamon

cream and crème fraîche

desserts, e.g., tarts, trifles

elderflower syrup

ginger

granola

honey

lemon

lime

liqueurs, e.g., crème de cassis, crème de menthe, Grand Marnier, Kirsch

maple syrup

mascarpone

meringue

mint

nectarines

orange

peaches

pepper, black

pie fillings

puddings, e.g., summer

salads, fruit

seeds, e.g., poppy

smoothies

sour cream

sugar, e.g., brown

vanilla

vinegar, e.g., balsamic

wine, e.g., sparkling, sweet, e.g., Moscato d’Asti

yogurt",Volume: quiet–moderate,,,,,Season: spring–summer,,,,
BITTERNESS,,,,,"arugula

baking powder and baking soda

beans, lima

beer, esp. hoppy (e.g., bitter ales)

bell peppers, green

bitters

broccoli rabe

Brussels sprouts

cabbage, green

caffeine (e.g., coffee, tea)

chard

chicory

chocolate, dark

cocoa

cranberries

eggplant

endive

escarole

fenugreek

frisée

grapefruit

greens, bitter, dark leafy, e.g., beet, dandelion, mustard, turnip

herbs, bitter

horseradish

kale

lettuce, e.g., romaine

melon, bitter

olives

radicchio

rhubarb

tonic water

turmeric

walnuts, e.g., black

watercress

wine, red, esp. tannic

zest, e.g., lemon, orange, etc.

zucchini",,"Tips: Bitterness relieves thirst. When a bitter component is added to a dish, it creates a sense of lightness. The hotter the food or drink, the lesser the perception of bitterness.",,,,,,,,
BLACKBERRIES (see also BERRIES),,Flavor Affinities,"Techniques: cooked, fresh, frozen (e.g., blended into a smoothie)","Dishes


Black-Eyed Pea Cake with Red Pepper Coulis, Chipotle Aioli

—Café Blossom (New York City)","almonds

apples

bananas

blueberries

caramel

cinnamon

coulis

CREAM AND ICE CREAM

DESSERTS, e.g., cobblers, crisps, crumbles

endive

figs

ginger

hazelnuts

honey

LEMON

lemon herbs, e.g., lemon balm, lemon verbena

lime

mangoes

maple syrup

mascarpone

melon, e.g., honeydew

milk, e.g., almond

mint

muesli

nectarines

nutmeg

oats

oranges, e.g., juice, zest

papaya

pecans

peaches

pepper, e.g., black

pies

pumpkin seeds

raspberries

rhubarb

rose geranium

salads, e.g., fruit

sauces

smoothies

sorbets

soups, e.g., fruit

strawberries

sugar, e.g., brown

vanilla

watermelon

wine, e.g., fruity, red

yogurt",Volume: quiet–moderate/loud,Tip: Black-eyed peas are more easily digested than other legumes.,,Nutritional profile: 71% carbs / 24% protein / 5% fat,Calories: 200 per 1-cup serving (boiled),Season: summer,"Botanical relatives: apples, apricots, cherries, peaches, pears, plums, quinces, raspberries, strawberries",Protein: 14 grams (vs. 9 grams per cup for other peas),What they are: legumes,Brand: Eden Organic (canned)
BLUEBERRIES,,Flavor Affinities,"Techniques: dry, freeze, fresh, simmer (10 minutes)",,"agave nectar

almonds

(North) American cuisine

apples and apple juice

apricots

BAKED GOODS, e.g., breads, MUFFINS, pies, quick breads, scones, tarts

bananas

blackberries

buttermilk

cereals, breakfast

cheese, e.g., blue, cream, ricotta

CINNAMON

corn

corn cakes

cream and ice cream

crème fraîche

crepes

cucumbers

currants

DESSERTS, e.g., clafoutis, cobblers, crisps, crumbles

drinks, e.g., cocktails

fennel

fruit, tropical

ginger

grains, whole, e.g., spelt

granola

hazelnuts

honey

lavender

LEMON, e.g., juice, zest

lime, e.g., juice, zest

mango

MAPLE SYRUP

MASCARPONE

melon, e.g., cantaloupe

mint

nectarines

nutmeg

nuts

oats and oatmeal

orange, e.g., juice, zest

PANCAKES

PEACHES

pecans

pies

pineapple

raspberries

rhubarb

rice, brown

SALADS, e.g., FRUIT, green

salsas

sauces, fruit

SMOOTHIES

soups, fruit

sour cream

strawberries

SUGAR, e.g., brown

thyme

vanilla

watermelon

yogurt",Volume: quiet–moderate,"Tips: Frozen blueberries work as well as fresh in smoothies. Use dried blueberries when you’re worried about bursting berries, e.g., in thicker batters or smaller-sized tins (e.g., for mini-muffins).",Possible substitutes: huckleberries,Nutritional profile: 91% carbs (high in sugar) / 5% fat / 4% protein,Calories: 85 per 1-cup serving (raw),Season: spring–summer,,Protein: 1 gram,,
BOK CHOY (aka CHINESE CABBAGE or PAK CHOI),[bahk CHOY],Flavor Affinities,"Techniques: blanch, boil, braise, raw, roast (at 400°F for 5 minutes), sauté (over high heat), simmer, steam, STIR-FRY","Dishes


Stir-Fried Bok Choy with Garlic and Ginger, served with Brown Rice and Plum Sauce

—Bloodroot (Bridgeport, CT)



Giant Asian Dumplings: Steamed Dumplings filled with Wok-Seared Vegetables, Edamame, Ginger, and Garlic, served with Sweet Chili Dipping Sauce and Grilled Bok Choy

—Canyon Ranch (Lenox, MA)



Bok Choy with Broccoli, Vinton Soybeans, and Hakurei Turnips

—Gramercy Tavern (New York City)



Sautéed Baby Bok Choy, Ginger Ponzu, Toasted Peanuts

—Green Zebra (Chicago)



Baby Bok Choy, Kimchi-Tokyo Turnips, Cashew, Chili Vinaigrette

—Picholine (New York City)","agave nectar

almonds, e.g., roasted or smoked

Asian cuisines

beans, black, and fermented black bean sauce

bell peppers, red

broccoli

broccoli rabe

cabbage, e.g., napa, purple

cardamom

carrots

cashews

casseroles

cauliflower

celery

chiles, e.g., jalapeños

chili pepper flakes, chili paste, and chili sauce

Chinese cuisine

cilantro

cinnamon

coconut milk

curry powder and curries

five-spice powder

GARLIC

GINGER

greens, e.g., Asian, dandelion

hoisin

leeks

lemon

lemongrass

lime

lotus root

mirin

miso

MUSHROOMS, e.g., Chinese, shiitake

NOODLES, e.g., Asian, soba, udon

OIL, e.g., canola, chili, grapeseed, olive, peanut, SESAME, sunflower

onions, e.g., yellow

peanuts and peanut sauce

ponzu

potatoes

quinoa

rice, e.g., brown, short-grain

salads, when leaves are young

salt, sea

scallions

sesame seeds

shallots

slaws

SOUPS

soybeans, black

SOY SAUCE

sprouts, bean

squash, butternut

stews

STIR-FRIES

stock, e.g., mushroom or vegetable

sugar, brown

tahini

tamari

tempeh

Thai cuisine

TOFU

turmeric

turnips

vinaigrette

vinegar, e.g., brown rice, rice, or umeboshi

water chestnuts

wine, e.g., dry sherry

zucchini",Volume: quiet,Tips: Bok choy is a quick-cooking green. Buy small (and tender) heads.,,Nutritional profile: 57% carbs / 32% protein / 11% fat,"Calories: 20 per 1-cup serving (shredded, boiled)","Season: year-round, esp. summer–autumn",Botanical relatives: cabbage,Protein: 3 grams,,
BORAGE,[BOHR-ij],Flavor Affinities,"Techniques: raw, sauté, steam","Dishes


Garden Borage Risotto with Smoked Local Hen Egg, Borage, Housemade Ricotta

—Hotel Fauchère (Milford, PA)","basil

cheese, e.g., cream, ricotta, ricotta salata

chervil

chickpeas

chives

cocktails, e.g., gin-based, e.g., Pimm’s cup

cream

cucumbers

dill

drinks, e.g., fruit, iced

eggs, e.g., boiled, poached, smoked

European cuisines

fennel

garlic

German cuisine

gin

lemon, e.g., juice

mint

mustard

oil, e.g., olive, vegetable, walnut

parsley

pasta, e.g., ravioli

pepper, e.g., white

potatoes

rice, e.g., Arborio

risottos

salad dressings

salads, e.g., bread, chickpea, fruit, green

sauces, e.g., green, herb

scallions

sorrel

soups, e.g., cold, cucumber, vegetable

sour cream

stocks, vegetable

teas

thyme

tomatoes

vegetables

vinegar, e.g., fruit, rice wine

watercress

wine, white

yogurt",Volume: quiet–moderate,"Tips: Chop finely before adding to dishes. Use bluish-purple borage flowers as an edible garnish for cocktails, salads, or other dishes.","Possible substitutes: celery (for stems), spinach (for leaves)",Nutritional profile: 51% carbs / 28% fat / 21% protein,Calories: 20 per 1-cup serving (raw),Season: spring,,Protein: 2 grams,,
BOYSENBERRIES (see also BLACKBERRIES),,,,,,,"Tip: Use like blackberries, one of the three berries (along with raspberries and loganberries) of which boysenberries are a hybrid.",,,,,,,,
BRAGG LIQUID AMINOS,,Flavor Affinities,,,"beans

carrots

casseroles

cauliflower

celery

cilantro

daikon

eggplant

garlic

ginger

grains, whole

gravies

greens, e.g., collard

honey

juices, e.g., carrot

kale

lemon, e.g., juice

lentils

mushrooms, e.g., shiitake

oil, e.g., olive, sesame

onions

parsley

popcorn

potatoes

raw cuisine

rice, e.g., brown

salad dressings, e.g., Caesar

salads

sauces

scallions

seitan

soups, e.g., gazpacho

spreads

stews

stir-fries

stock, vegetable

tofu

tomatoes

vegetables, e.g., steamed

veggie burgers",Volume: moderate–loud,Tip: Add to toasted sesame oil for an instant sauce for vegetables.,"Possible substitutes: soy sauce, tamari",,,,,,,
"BRAZIL NUTS (see NUTS, BRAZIL)",,,,,,,,,,,,,,,
BRAZILIAN CUISINE,,Flavor Affinities,,,"beans, black

cardamom

chiles

cilantro

cloves

coconut milk

feijoada

garlic

ginger

greens, e.g., collard

kale

nutmeg

onions

orange

parsley

pepper, black

peppers, Brazilian

pumpkin

rice

saffron

salsa

thyme",,,,,,,,,,
"BREAD CRUMBS, WHOLE-GRAIN",,Flavor Affinities,,,"arugula

asparagus

beans, e.g., green

breadings, e.g., for seitan

casseroles

cassoulets

cauliflower

cheese, e.g., goat, Parmesan, pecorino

endive

fennel

garlic

gratins

Italian cuisine

legumes, e.g., lentils

macaroni and cheese

marjoram

mushrooms

nuts, e.g., pistachios

oil, olive

onions

parsley

pastas, e.g., linguini, macaroni, spaghetti

pesto

radicchio

rosemary

salads, e.g., bean, Caesar, green, mushroom

soups, e.g., gazpacho, white bean

stuffings

thyme

tomatoes, e.g., broiled

veggie burgers

watercress

zucchini",Volume: quiet,"Tips: Make your own healthful bread crumbs by drying or lightly toasting whole-grain or sprouted grain bread (e.g., Ezekiel brand), then pulsing in a food processor until lightly crumbed—or, for larger crumbs and more texture, grate the dried bread on a cheese grater right over the dish. Use to add a crunchy texture to gratins, pastas, salads, soups, etc.",,,,,,,,
"BREAD CRUMBS, PANKO",,"Flavor: neutral, with a very crunchy texture",,,"artichokes

asparagus

baked dishes

breadings

cheese, e.g., goat, mozzarella, Parmesan, pecorino

crusts

deep-fried dishes

eggplant

herbs, e.g., basil, parsley

Japanese cuisine

lemon

“meatballs”

mushrooms, e.g., oyster

nuts, e.g., pecans

seitan

squash, e.g., kabocha

stuffings, e.g., for artichokes

tofu",Volume: quiet,Tips: Eating breakfast jump-starts your metabolism and can prevent overeating later in the day.,,,Calories: 110 per ½-cup serving,,,,,
